선수명,level,season,IP_mlbstatsapi,IP_fangraphs,my_fip,fangraphs_fip,diff,cFIP_used
제프 맨쉽,MLB,2009,31.667,31.667,4.929,4.929,0.0,3.0971
제프 맨쉽,MLB,2010,29.0,29.0,3.595,3.595,-0.0,3.0778
제프 맨쉽,MLB,2011,3.333,3.333,5.425,5.425,-0.0,3.0254
제프 맨쉽,MLB,2012,21.667,21.667,5.495,5.494,0.0,3.0945
제프 맨쉽,MLB,2013,30.667,30.667,5.591,5.591,0.0,3.0479
제프 맨쉽,MLB,2014,23.0,23.0,4.132,4.132,0.0,3.1323
제프 맨쉽,MLB,2015,39.333,39.333,2.625,2.625,0.0,3.1336
제프 맨쉽,MLB,2016,43.333,43.333,5.108,5.108,0.0,3.1466
제프 맨쉽,AAA,2009,50.333,50.333,3.236,3.289,-0.052,3.0971
제프 맨쉽,AAA,2010,98.333,98.333,3.841,4.018,-0.177,3.0778
제프 맨쉽,AAA,2011,25.0,25.0,3.905,4.117,-0.211,3.0254
제프 맨쉽,AAA,2012,80.333,80.333,3.953,4.02,-0.067,3.0945
제프 맨쉽,AAA,2013,104.0,104.0,3.634,4.156,-0.522,3.0479
제프 맨쉽,AAA,2014,25.333,25.333,4.119,4.345,-0.225,3.1323
제프 맨쉽,AAA,2015,31.667,31.667,3.26,3.283,-0.023,3.1336
돈 로치,MLB,2014,30.333,30.333,4.748,4.748,0.0,3.1323
돈 로치,MLB,2015,3.333,3.333,3.434,3.434,-0.0,3.1336
돈 로치,MLB,2016,5.333,5.333,6.522,6.522,0.0,3.1466
돈 로치,AAA,2014,77.333,77.333,4.154,4.722,-0.568,3.1323
스캇 다이아몬드,MLB,2011,39.0,39.0,4.359,4.359,0.0,3.0254
스캇 다이아몬드,MLB,2012,173.0,173.0,3.938,3.938,0.0,3.0945
스캇 다이아몬드,MLB,2013,131.0,131.0,5.185,5.185,0.0,3.0479
스캇 다이아몬드,MLB,2016,1.0,1.0,9.147,9.147,0.0,3.1466
스캇 다이아몬드,AAA,2010,56.333,56.333,3.22,3.397,-0.177,3.0778
스캇 다이아몬드,AAA,2011,123.0,123.0,3.627,3.838,-0.211,3.0254
스캇 다이아몬드,AAA,2012,34.667,34.667,2.662,2.729,-0.067,3.0945
스캇 다이아몬드,AAA,2013,41.0,41.0,4.048,4.205,-0.157,3.0479
스캇 다이아몬드,AAA,2015,150.333,150.333,3.626,3.649,-0.023,3.1336
스캇 다이아몬드,AAA,2016,166.0,166.0,3.472,3.495,-0.023,3.1466
션 오설리반,MLB,2009,51.667,51.667,5.981,5.981,0.0,3.0971
션 오설리반,MLB,2010,83.667,83.667,5.528,5.528,-0.0,3.0778
션 오설리반,MLB,2011,58.333,58.333,6.043,6.043,0.0,3.0254
션 오설리반,MLB,2013,25.0,25.0,3.888,3.888,0.0,3.0479
